,Availability of alcohol,Community and workplace action,Country,Data Source,"Leadership, awareness and commitment",Marketing of alcoholic beverages,Monitoring and surveillance,Pricing policies,Year
33,,, Finland, link,"The campaign “Lasten seurassa” [“In the company of children”] has been run since 2009 as a central part of the alcohol retail monopoly’s responsibility activities. The latest video clip, “The orphanage”, launched in 2015, highlights the theme “children don’t get to choose”.",,,,2015
34,,, France, link,Loi n° 2016-41 du 26 janvier 2016 de modernisation de notre système [The law No. 2016-41 of 26 January 2016 to modernize our health system] includes alcohol measures.,,,,2015
35,,, Georgia, link,New legislation/scheme for better enforcement of existing alcohol legislation.,,,,2015
36,,, Germany, link,"The national prevention and awareness raising campaign “Alkohol? Kenn Dein Limit” [“Know your limit”] was implemented to raise awareness of the general public and relevant services on health and social harm from heavy episodic drinking (e.g., through events, publications, information material).",,,,2015
37,,, Germany, link,"Adoption of the Health Target “Alkoholkonsum reduzieren“ (“Reduce alcohol consumption”) and its citation in the “Präventionsgesetz, PrävG” (“Prevention Law”), adopted in 2015, as one of eight Health Targets",,,,2015
38,,, Germany, link,"Aktionswoche Alkohol (Alcohol Awareness Week ""Alcohol? Less is better!"") has been carried out every two years since 2007 to raise awareness of national legislation among sellers of alcoholic beverages and the general public.",,,,2015
39,,, Iceland,  ,"Launch of a website  with information for the public on alcohol, including self-monitoring and guidelines to reduce alcohol consumption.",,,,2015
40,,, Ireland,  ,"The Health Service Executive funded the REACT Project (REACT (Responding to Excessive Alcohol Consumption in Third Level), creating evidence-based policies and tools for third-level institutions to reduce alcohol-related harm",,,,2015
41,,, Ireland, link,"The Public Health (Alcohol) Bill is in the Programme for a Partnership Government, and the Government is keen to have it enacted. The Bill completed its passage through all stages in the Seanad on 15 December 2017. The Minister intends to bring the Bill into the Dáil as soon as possible in 2018.The Public Health (Alcohol) Bill contains a suite of meaningful measures to reduce the level of harmful consumption of alcohol in Ireland. The aim of the legislation is to reduce alcohol consumption and the harms caused by alcohol. The Bill includes provisions for minimum unit pricing; health labelling of alcohol products; the regulation of advertising and marketing of alcohol; the regulation of sponsorship; separation of alcohol products in mixed trading retail outlets; andthe regulation of the sale and supply of alcohol in certain circumstances",,,,2015
42,,, Latvia,  ,Revision and publication of a report on the “Alkoholisko dzērienu patēriņa mazināšanas un alkoholisma ierobežošanas rīcības plāns 2012.–2014. gadam” [“Action plan for reduction of consumption of alcoholic beverages and limitation of alcoholism 2012–2014”].,,,,2015
43,,, Latvia, link1,An informative campaign (animated film) was carried out to support parents in communicating with adolescents about alcohol.,,,,2015
44,,, Latvia, link2,An informative campaign (animated film) was carried out to support parents in communicating with adolescents about alcohol.,,,,2015
45,,, Montenegro,  ,Draft law on strong alcoholic beverages.,,,,2015
46,,, Netherlands, link,"The Health Council of the Netherlands published their guidelines on healthy nutrition, including a new guideline on alcohol consumption.",,,,2015
47,,, Norway,  ,"Escalation plan for alcohol and drug related services (2016–2020), Proposition 15.S (2015–2020)",,,,2015
48,,, Norway, link,"Publication of “Mestring og muligheter. Folkehelsemeldingen St. medl 19 (2014–15)   27/6 2015” (“Mastering and possibilities. Report no. 19 to the Parliament 2014–15 on public health”). This white paper covers the public health field at local, regional and national levels and most sectors of society",,,,2015
49,,, Poland,  ,Public funding for major alcohol research project or nationwide action project on alcohol harm prevention and reduction.,,,,2015
50,,, Portugal, link,"A campaign to prevent the consumption of alcoholic beverages during pregnancy and breastfeeding was launched in September 2015 by Clube de Criativos de Portugal[“Portugese Creative Club”] in partnership with the General Directorate for Intervention on Addictive Behaviours and Dependencies (SICAD), within the scope of the Alcohol and Health Forum.",,,,2015
51,,, Portugal, link,Launch/evaluation of a long-term nationwide information campaign to reduce alcohol-related harm.,,,,2015
52,,, Romania,  ,Ministerial Order of the Minister of Health 1367/02.11.2015 establishing the components of the technical secretariat of the National Council.,,,,2015
53,,, Romania, link,"Governmental Decision 160/11.03.2015, published in the Official Monitor of Romania no. 891/08.12.2014 concerning the creation of the National Council for the coordination of policies and actions aiming to reduce the harmful use of alcohol in Romania. The Council is acting under the coordination of the Ministry of Health. The Council has three bodies: the interministerial committee, the technical secretariat and the consultative committee. The Council is responsible for developing the national action plan to reduce the harmful use of alcohol in Romania",,,,2015
54,,, Russian Federation, link,"Order of the Government of the Russian Federation from 26.11.2015 N 2413-r ""On Approval of the Action Plan ("" roadmap "") to stabilize the situation and the development of competition in the alcohol market"".  The Action plan ('roadmap')  is aimed at improving the mechanisms for state regulation of manufacturing and turnover of ethyl alcohol, alcohol and alcohol-containing products, and is based on the proposals of federal authorities and business community. The goals of the ‘roadmap’ are: to increase the effectiveness of state regulation and competition on the alcohol market of the Russian Federation; prevention of offenses in the area of manufacturing and turnover of ethyl alcohol, alcohol and alcohol-containing products; reduction of alcohol abuse and prevention of alcoholism among the population of the Russian Federation.",,,,2015
55,,, San Marino, link,Health and Social Plan 2015-2017,,,,2015
56,,, Serbia, link,"Nacionalna strategija za mlade za period od 2015. do 2025. godine (""Sl. glasnik RS"", br. 22/2015) [“The National Youth Strategy for the period of 2015 to 2025” (""Off. Gazette of RS"", no. 22/2015)] promoting healthy lifestyles.",,,,2015
57,,, Serbia, link,"Nacionalni program prevencije štetne upotrebe alkohola i alkoholom uzrokovanih poremećaja u Republici Srbiji 2016–2020., Ministarstvo zdravlja Republike Srbije, Republička stručna komisija za prevenciju zloupotrebe alkohola i alkoholizma Beograd, 2015.g. [“National programme for the prevention of the harmful use of alcohol and alcohol-related disorders in the Republic of Serbia 2016–2020, Ministry of Health of the Republic of Serbia, Republic expert committee for the prevention of alcohol abuse and alcoholism, Belgrade, 2015”].  This is the main strategic national document in the prevention of alcohol use and alcohol-related morbidity.",,,,2015
58,,, Slovakia,  ,Education of the general public (especially women) of fetal alcohol syndrome. A seminar titled “Alcohol and women“ was designed for the expert  community. It is connected to and followed by health education acivities for the general public regarding International FASD Awareness Day. Activities are provided by staff from regional public health offices. The goal of the action is to raise awareness about harmful use and effects of alcohol during pregnancy.,,,,2015
59,,, Slovenia, link,"3. Nacionalna konferenca o alkoholni politiki [“3rd National alcohol policy conference”]. The alcohol policy situation in Europe and Slovenia was presented, and the lecturers and participants discussed the burden of hazardous and harmful alcohol consumption in Slovenia, the most effective measures in the area of alcohol policy, and an interdisciplinary approach to the prevention and reduction of hazardous and harmful alcohol consumption in Slovenia.",,,,2015
60,,, Spain, link,Creation of a web-based programme on healthy lifestyles for citizens within the framework of the Estrategia de Promoción de la salud y prevención en el SNS [“The prevention and health promotion strategy of the Spanish National Health System”].,,,,2015
61,,, Sweden, link,"Two evaluation reports on the implementation and follow up of the former strategy (Alcohol, Narcotics, Doping and Tobacco Policy (ANDT)) period (2011–2015).",,,,2015
62,,, Switzerland,  ,(December) Parliament abandons revision of Alcohol Act after 4 years of deliberations.,,,,2015
63,,, Switzerland, link,(11/November) Federal Council adopts National Addictions Strategy,,,,2015
64,,, Switzerland, link,"(May) Publication of revised/new guidelines by the Federal Commission on Alcohol-related Issues (FCAL), guidelines for lower-risk alcohol consumption.",,,,2015
65,,, Switzerland, link,"Federal Council publishes its position on a parliamentary initiative that wants to introduce a cost sharing provision (100%) for hospitalisations caused by alcohol intoxication: the Federal Council suggests rejecting the proposition, like the majority of people and organisations that took part in the public consultation on the subject.",,,,2015
66,,, Switzerland, link,(December) Parliament abandons parliamentary initiative that wants to introduce a cost sharing provision (100%) for hospitalisations caused by alcohol intoxication,,,,2015
67,,, Switzerland, link,Launch of new national campaign 2015-2017: “How much is too much?” including a new website.,,,,2015
68,,, Switzerland, link,(May) 3rd week of dialogue on alcohol.,,,,2015
69,,, Tajikistan,  ,Establishment of a National Advisory Group on Alcohol.,,,,2015
70,,, United Kingdom of Great Britain and Northern Ireland, link,Publication of “Government Response to the House of Lords European Union Committee’s 8th Report of Session 2014-15: A new EU Alcohol Strategy?”,,,,2015
71,,, United Kingdom of Great Britain and Northern Ireland, link,"Wales: Publication of a report by the National Assembly for Wales Health and Social Care Committee, “Alcohol and substance misuse, August 2015.” The reports includes a series of recommendations, including more leadership from the Welsh Government at a strategic level in order to raise awareness of the harms associated with alcohol and substance misuse and improved training for GPs in order to remove some of the barriers to accessing services.",,,,2015
72,,, United Kingdom of Great Britain and Northern Ireland, link,Wales: Consultation on the draft Public Health (Minimum Price for Alcohol) (Wales) Bill. Consultation launched 15 July 2015 and closed 11 December 2015.,,,,2015
73,,, Czechia, link,First revision of the National Drug Policy Strategy 2010-2018.,,,,2014
74,,, Estonia,  ,An awareness campaign was carried out. ,,,,2014
75,,, Israel,  ,Implementation of a special campaign against consuming alcohol by pregnant women. ,,,,2014
76,,, Russian Federation,  ,"Government Decree of 11 November 2014 N 1185 ""On the Governmental Commission for Raising Competitiveness of and Regulating the Alcohol Market"". Establishment of a government commission for raising competitiveness of and regulating the alcohol market. A task force was established within this commission.",,,,2014
77,,, Spain,  ,"Si estás embarazada, con el alcohol no hay excusas [If you are pregrant, there is no excuse for alcohol]. Menores ni una gota de alcohol [Minors, not a drop of alcohol]. Media campaigns aimed at both minors and pregnant women implemented by Ministerio de Sanidad [Ministry of Health] and Federación Española de Bebidas Espirituosas [Spanish Federation of Spirit-based Beverages]. ",,,,2014
78,,, Switzerland,  ,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),,,,2014
79,,, Estonia,  ,An awareness campaign was carried out.,,,,2013
80,,, Luxembourg,  ,Massive public campaign on risks associated with alcohol use during pregnancy,,,,2013
81,,, Netherlands, link,"NIX18 – niet roken niet drinken [NIX 18 – no smoking, no drinking]. Start of mass media campaign to strengthen the social norm not to drink (or smoke) before the age of 18.",,,,2013
82,,, Switzerland,  ,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,,,,2013
83,,, Switzerland, link,Start of project “Success factors of cantonal alcohol policy”: Tool to assess and develop cantonal alcohol policy measures (completed in  2015),,,,2013
84,,, Estonia,  ,An awareness campaign was carried out.,,,,2012
85,,, Latvia, link,No vadītāja līdz izvadītājam ir viena glāze. Nebrauc dzēris! “[The grim reaper is just one shot away. Do not drive drunk! ]. An informative campaign against drink-driving was organized.,,,,2012
86,,, Latvia, link,Aizkulises [Backstage]. An informative campaign against illegal alcohol was organized.,,,,2012
87,,, Latvia, link,Stūrē skaidrā! [Drive sober!]. Informative campaign against drink-driving (especially for bicycle and moped drivers) was organized.,,,,2011
88,,, Spain,  ,"Campaña de Prevención y Educación para la Salud sobre los Riesgos del Consumo de Alcohol en Menores [Media campaign on education and prevention of alcohol consumption in  minors] implemented by Ministerio de Sanidad, Política Social e Igualdad [Ministry of Health, Social Policy and Equality] (November 2011).",,,,2011
89,,, Switzerland,  ,"Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",,,,2010
90,,, Russian Federation,  ,"Government of the Russian Federation Decree # 2128-r the Concept for Implementing the State Policy to Reduce the Scale of Alcohol Abuse and Prevention of Alcoholism in the Population of the Russian Federation until 2020 (the Concept): contains evidence-based activities included into the Global strategy to reduce the harmful use of alcohol, as well as the European action plan to reduce the harmful use of alcohol 2012-2020.  The First Stage of the Concept (2010-2012) envisaged the development of special measures for the prevention of alcohol abuse, introduction of The Second Stage (2013-2020) should focus further activities aimed at reducing the level of alcohol consumption.programmes and projects aimed at promoting healthy lifestyles, and the implementation of regional programs in the regions of the Russian Federation aimed at reducing alcohol consumption.",,,,2009
91,,, United Kingdom of Great Britain and Northern Ireland, link,Scotland: Publication of the report “Changing Scotland’s relationship with alcohol: a framework for action.”,,,,2009
92,,, United Kingdom of Great Britain and Northern Ireland, link,"England: The Change4Life social marketing campaign was launched in 2009 and aimed to inspire a social movement through which government, the NHS, local authorities, businesses, charities, schools, families and community leaders could all play a part in improving health, including the reduction of alcohol consumption.",,,,2009
93,,, United Kingdom of Great Britain and Northern Ireland, link,Scotland: Publication of the leaflet “Recognising problem drinking” by Alcohol Focus Scotland/NHS Health Scotland.,,,,2009
0,"Enforced major changes in licensing systems, age limits etc. pertaining to the availability of alcohol.",, India,,,,,,2016
1,Notification from the Office of the Prime Minister on Determination of place or area of alcoholic beverage sale on train B.E. 2558 .,, Thailand,,,,,,2015
2,Alcohol banned in Kerela.,, India,,,,,,2014
3,Notification from the Office of the Prime Minister on sales or consume alcoholic beverage in factory operation area.,, Thailand,,,,,,2012
0,,, Canada,,,AGLC (Alberta Gaming and Liquor Commission) launched DrinkSense which will be AGLC's ongoing umbrella brand (and associated website) for all AGLC Social Responsibility messages moving forward.,,,2016
1,,, Costa Rica,,,Vote of the Judicial Power of the Constitutional Chamber of Costa Rica prohibited the use of national symbols in the advertising of alcoholic beverages and removed voting privileges from representatives of the industry and  advertising agencies in the commission which regulates the subject.,,,2016
2,,, El Salvador,,,Operation of the Alcohol and Tobacco Unit to regulate the production and marketing of alcohol.,,,2016
3,,, Chile,,,Underwent final parliamentary procedure for the bill on labelling and advertising restrictions.,,,2015
4,,, Mexico,,,Introduced policy to include warning images on alcoholic beverage bottles.,,,2015
5,,, Costa Rica,,,Amended rules for the regulation and control of commercial advertising related to the sale of alcoholic beverages that had been in place since 1974. Changed the institution responsible for overseeing the specialized alcohol agency. Involved industry representatives in the Commission to approve or reject alcohol advertisements.,,,2013
6,,, Costa Rica,,,"Merged laws regarding requirements for issuing licenses to sell alcohol, hours of operation by type of establishment and function, control of advertisements and new addition of sanctions and fines for infractions of the aforementioned.",,,2012
7,,, Canada,,,National Alcohol Strategy Advisory Committee advanced the implementation of recommendations in standard drink labels.,,,2010
0,,England: Integrated alcohol-related harm done to children in families with alcohol problems into information-based prevention programmes in schools and targeted the general public through materials provided by the Alcohol and Drug Education and Prevention Information Service (ADEPIS)., United Kingdom of Great Britain and Northern Ireland, link,,,,, 
1,,"England: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/substance abuse. Public Health England shares data at a local level about the number of children of people in treatment, as well as commissioning prompts, to assist local areas with incorporating this in their joint strategic needs assessments.", United Kingdom of Great Britain and Northern Ireland, link,,,,, 
2,,"England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption.", United Kingdom of Great Britain and Northern Ireland,  ,,,,,2016
3,,Involvement of alcohol prevention in PHI training of family teams., Bosnia and Herzegovina,  ,,,,,2015
4,,"Promoted and developed actions among youth group (students, universities, local communities, vulnerable groups). Grants were awarded for pilot projects in the field of alcohol and drug prevention for students (for example, Dein Masterplan or eCHUG-D).", Germany, link,,,,,2015
5,,"Within the framework of the Bilateral Cooperation Agreement (BCA) with and on the initiative of WHO, a general methodological tool was developed titled “Reducing alcohol-related harms in communities” on the basis of scientific evidence, related national evidence-based health policies and good practices for local health care activists, professionals and decision-makers to support them in policy-making and implementation of local plans to reduce alcohol-related harms.", Hungary,  ,,,,,2015
6,,Publication of “Alcohol-related brain injury: a guide for families, Ireland, link,,,,,2015
7,,"“Porodični zakon” (""Sl. glasnik RS"", br. 6/2015) [“Family Law” (""Off. Gazette of RS"", no. 6/2015)], which aims to reduce the negative consequences of alcohol use at family level.", Serbia, link,,,,,2015
8,,The Ministry of Health regularly co-finances NGO programmes for reducing the hazardous and harmful use of alcohol., Slovenia, link,,,,,2015
9,,"Publication of report on addiction prevention in micro, small and mid-sized companies", Switzerland, link,,,,,2015
10,,"England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.", United Kingdom of Great Britain and Northern Ireland, link,,,,,2015
11,,"Scotland: As part of the Partnership Drugs Initiative (PDI), the Lloyds TSB Foundation for Scotland, which receives funding from Scottish Government, published ˜Everyone has a story,” which is a project that was designed to address specific gaps in knowledge, support and evidence by using a participatory and consultative approach to improve the support for children and young people whose parents are in recovery. There are a number of recommendations identified, including for the Scottish Government, and the PDI is working with key partners to take these forward.", United Kingdom of Great Britain and Northern Ireland, link,,,,,2015
12,,"England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.", United Kingdom of Great Britain and Northern Ireland, link,,,,,2014
13,,"England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.", United Kingdom of Great Britain and Northern Ireland, link,,,,,2014
14,,"England: Strengthened and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse via the Alcohol and Drug Education and Prevention Information Service (ADEPIS), which reviews and assesses the effectiveness of various prevention programmes.", United Kingdom of Great Britain and Northern Ireland, link,,,,,2013
15,,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.", United Kingdom of Great Britain and Northern Ireland, link,,,,,2013
16,,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012., United Kingdom of Great Britain and Northern Ireland, link,,,,,2012
17,,Northern Ireland: One-Stop-Shop services have been in place since 2010., United Kingdom of Great Britain and Northern Ireland,  ,,,,,2010
18,,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010., United Kingdom of Great Britain and Northern Ireland, link,,,,,2010
19,,"Northern Ireland: Promoted and developed community actions among young people’s groups. Community support services were put in place in all areas across Northern Ireland. These commenced in 2007 and were reviewed, and a new Drug and Alcohol Coordination Team (DACT) connections service was put in place from July 2015.", United Kingdom of Great Britain and Northern Ireland, link,,,,,2007
20,,England: Integrated alcohol-related harm to the unborn child into information-based prevention programmes in schools and targeting the general public. The alcohol industry entered into agreement with the Government to display alcohol warnings for pregnant women on alcohol containers. Providing information based prevention programmes has been the mission of the Foetal Alcohol Spectrum Disorders Trust for 20+ years., United Kingdom of Great Britain and Northern Ireland, link,,,,,2007
21,,Northern Ireland: Treatment and support services for young people have been in place since 2006. The Hidden harm action plan and services have been in place since 2010., United Kingdom of Great Britain and Northern Ireland, link,,,,,2006
0,,, Iraq,,Revised and launched a new alcohol strategy and action plan.,,,,2016
1,,, Lebanon,,"Developed an inter-ministerial substance use response strategy 2016-2021 and action plan, with alcohol among the substances covered.",,,,2016
2,,, Morocco,,"Planned a the national strategy to combat addictions in the 4th quarter of 2016, with the support of the Global Fund.",,,,2016
3,,, Sudan,,Currently there is no policy implemented on alcohol abuse but it is included in a plan for 2017. The policy will be developed at the national level.,,,,2016
4,,, Oman,,Created the National Strategy Against Alcohol and Psychoactive Substances 2016-2020.,,,,2015
5,,, Iran (Islamic Republic of),,"Formulated the national policy by MEHSHAD, MoH &amp; National Social Council, Ministry of Interior (MoI). Ratified the National Policy Document on Prevention, Control, Treatment, Harm Reduction and Rehabilitation of Alcohol Use (2012-2017) by National Health and Food Security Council, Ministry of Health and Medical Education (MoHME) &amp; National Social Council, Ministry of Interior (MoI).",,,,2013
6,,, Oman,,Mass Media Campaigns.,,,,2013
7,,, Oman,,Mass media campaigns.,,,,2011
8,,, Morocco,,Developed a strategic guidance document for a national alcohol policy and its actions with the support of WHO. Integrated measures and actions to prevent the consumption of alcohol and its risks in the national strategic plan for cancer control.,,,,2010
9,,, Oman,,Mass media campaigns.,,,,2010
0,,, India,,,,,No milestones reported.,2016
0,,, Bulgaria,  ,,Significant changes in marketing and production regulations,,, 
1,,, Lithuania, link,,"Prohibition to advertise alcoholic beverage price reductions, organization of not only competitions but also games, discount campaigns, or lotteries that could encourage purchase and/or consumption of alcoholic beverages (came in to force on 1 November 2016)",,,2016
2,,, Sweden, link,,Changes in marketing regulations regarding how to assess whether marketing is “aggressive.”,,,2016
3,,, Ireland, link,,"The Health Service Executive-funded Alcohol Action Ireland commissioned a National University of Ireland, Galway report: Children’s exposure to alcohol marketing in Ireland",,,2015
4,,, Kazakhstan,  ,,"On 6 April 2015, № 299-V SAM, in Code of the Republic of Kazakhstan, Administrative Offences Article 336 of the Administrative Code, the word ""spirits"" was replaced by ""alcoholic product"", which relates to all beverages where the alcohol content exceeds 1.5%. Drinking beer in public places is prohibited by this provision, as beer is considered an alcoholic product.",,,2015
5,,, Portugal, link,,"Agreement with the alcohol industry to develop responsible business practices in the selling, serving or marketing of alcoholic beverages",,,2015
6,,, Republic of Moldova,  ,,Development of a bill to ban advertising of alcoholic products.,,,2015
7,,, Turkey, link,,"On 10 January 2015, by the Directorate General of Consumer Protection and Marketing Surveillance, the Commercial Advertising and Unfair Commercial Practices Directive came into force. In this Directive, the administration (Board of Advertisement, which was established by law No. 6502 on consumer protection) has identified some of the major criteria for implied advertising, clarifying the intention of ""implied advertisement"" and the application of administrative penalties (these penalties are specified in law No. 6502).",,,2015
8,,, United Kingdom of Great Britain and Northern Ireland,  ,,"In December 2013, the Broadcast Committee of Advertising Practice (the body that writes and maintains the advertising rules for broadcast) published a new strengthened guidance note on the scheduling of television advertisements to help broadcasters identify which television programmes should exclude ads for alcohol and other age-restricted products.",,,2013
